"id_product";"reference";"name";"description";"link_rewrite";"link_rewrite";"id_image"
"2";"2007/181D";"Huile sur toile ""La jument et son poulain"", école suédoise, Gustave Ankar Crona";"<p>Huile sur toile ""La jument et son poulain"", école suédoise, Gustave Ankar Crona</p>";"tableaux";"ecole-suedoise";"2"
"3";"2013/184A";"Table patinée style Rococco";"<p>Table patinée style Rococco</p>";"mobilier";"petite-table-roccoco";"708"
"5";"2006/112H";"Paire de lampes en faïence rouge et bleu, 19è siècle";"<p>Paire de lampes en faïence rouge et bleu, 19è siècle</p>";"luminaires";"paire-de-lampes";"5"
"6";"2013/241";"Basset en bronze de Vienne";"<p>Basset en bronze de Vienne</p>";"bronzes-de-vienne";"basset";"6"
"10";"2008/84";"Petite console en plâtre";"<p>Petite console en plâtre</p>";"divers";"petite-console-en-platre-polychrome";"10"
"15";"2004/68E";"Table bureau en acajou victorien ""Lady's desk""";"<p>Table bureau en acajou victorien ""Lady's desk""</p>";"mobilier";"table-bureau-en-acajou-victorien";"710"
"16";"2011/65A";"Miroir en bois doré Louis XVI";"<p>Miroir en bois doré Louis XVI</p>";"miroirs-et-trumeaux";"miroir-en-bois-dore-louis-xvi";"16"
"18";"2014/234D";"Table cérusée Louis XV";"<p>2 rallonges de 27 cm</p>
<p>L. 78 cm, H. 71 cm, L. 90 cm</p>
<p>XIX ème siècle</p>";"mobilier";"table-louis-xv-en-chene-ceruse";"721"
"19";"2002/112C";"Ecureuil";"<p></p>
<p>L:4cm,H:4,5cm</p>
<p>19èS</p>";"bronzes-de-vienne";"ecureuil";"19"
"21";"2011/61H";"Deux chopes suédoises Rörstrand";"<p>Deux chopes suédoises Rörstrand</p>";"porcelaine-et-faience";"deux-chopes-suedoises-rorstrand";"21"
"23";"2009/111B";"Couple d'amoureux Capo di Monte";"<p></p>
<p>H: 19cm</p>
<p>19èS Naples</p>";"porcelaine-et-faience";"couple-d-amoureux-capo-di-monte";"23"
"27";"2015/05C";"Petite table patinée rococco 19è avec un marbre";"<p>Petite table patinée rococco 19è avec un marbre</p>";"mobilier";"table-polychrome-rococo-avec-marbre";"715"
"29";"2009/26";"Henri Joseph Thomas (1878-1972) Nature morte aux f leurs";"<p>Ecole Belge</p>
<p>42 x 50 cm</p>
<p>XX ème</p>";"tableaux";"henri-joseph-thomas-1878-1972-nature-morte-aux-f-leurs";"29"
"31";"2007/69G";"Service à café en argent";"<p>composé de trois pièces : cafetière, sucrier et pot à lait</p>
<p>Cafetière : L:22cm, H:23 cm</p>
<p>Suède 1860</p>";"argenterie-et-verrerie";"service-a-cafe-en-argent";"31"
"34";"2007/69E";"Miroir empire en bois doré, Suède, circa 1810";"<p>Miroir empire en bois doré, Suède, circa 1810</p>";"miroirs-et-trumeaux";"miroir-empire-en-bois-dore";"34"
"36";"2011/05F";"Fauteuil Louis XV en noyer, circa 1790";"<p>Fauteuil Louis XV en noyer, circa 1790</p>";"fauteuils";"fauteuil-louis-xv-en-noyer";"36"
